Mã số SV,Đại số tuyến tính,Giải tích hàm một biến,Giải tích hàm nhiều biến,Chủ nghĩa Mác - Lê nin 1,Pháp luật đại cương,Tin học đại cương,Toán rời rạc,Kỹ năng giao tiếp và thuyết trình,Tiếng Anh 1,Tiếng Anh 2,Điểm TB,Cảnh báo học vụ
1851061438,9.7,9.6,9.1,8,7.2,10,8.7,7.8,9.3,8.8,8.82,No
1851061743,9.4,8.5,10,7.6,6.1,10,8.5,8.4,8.8,9,8.63,No
1851061794,8.5,9.1,9.4,7.2,6.1,9.8,9,7.8,8.3,8.6,8.38,No
1851061437,8.2,6.6,8.1,7.7,7,10,8.5,7.3,9.9,9.8,8.31,No
1851061605,9.7,8.8,10,7.4,7.3,4.5,8.6,8.1,8.9,7.9,8.12,No
1851061528,9.6,8.6,9.4,6.8,6.4,7.9,8,7.4,8.2,8.6,8.09,No
1851061690,9.2,7.1,9.1,7.7,7.6,9,5.8,6.9,9.1,9.4,8.09,No
1851061369,8.8,8.8,8.8,6.2,7.5,9.9,8.5,6.8,8.3,7,8.06,No
1851061642,9.2,7.3,4.8,9.2,6.5,9.5,8.5,7.5,9.1,8.7,8.03,No
1851061725,7,8.5,9.5,7.7,6.9,6.7,6.8,7.4,9.8,9.4,7.97,No
1851062330,9.1,9.3,9.2,6.6,4.6,10,8.5,8,5.4,8,7.87,No
1851061361,8.5,8.2,8.9,7.2,7.5,6.3,8.4,7.7,7.9,7.5,7.81,No
1851061386,8.2,6.5,7.9,6.8,7.8,7.5,7.8,7.5,9,8.9,7.79,No
1851060590,8.2,8.3,9.2,6.8,6.9,8,8.5,6.7,7.4,7.7,7.77,No
1851061961,9.2,9.6,7.9,7.6,7.4,5.8,7.8,7.9,6.9,7.5,7.76,No
1851061399,9.8,7,9.3,6,5.7,9.1,7.3,6.8,7.7,8.8,7.75,No
1851061597,9.1,5.9,7,6.8,6.6,9.3,7.3,7,8.9,8.7,7.66,No
1851061679,10,7.5,8.4,6.3,7.2,7.1,6.3,7.4,7.9,7.9,7.6,No
1851060100,6.7,7.3,8.2,8.1,7.5,7,5.7,7.3,9.2,9,7.6,No
1851061761,9.2,9.2,7.9,4,6.7,9.5,6.5,6.4,8.4,7.9,7.57,No
1851061374,7.9,7.9,8.2,7,7,6.7,5.8,6.8,8.8,9.2,7.53,No
1851061957,4.7,7.1,8,6.8,7.3,8.9,8.2,7.3,8.5,7.9,7.47,No
1851060083,9.8,5.5,6.9,6,6.4,9.7,6.3,8,7.7,7.8,7.41,No
1851061396,6.2,5.3,5.3,8.3,7.9,8.9,6.3,7.5,10,8.4,7.41,No
1851060522,7.7,9.5,6.9,7.5,5.8,6.5,7,6.9,8.7,7.5,7.4,No
1851061427,8.1,4.6,1.4,8.1,8,9.6,,7.6,9.7,9.5,7.4,No
1851061729,8.5,8.7,8.9,6.6,6.3,5.1,6.7,6.9,8.2,7.9,7.38,No
1851061443,8.6,9.2,6.8,6.9,5.7,5.3,7.8,7.4,8,7.9,7.36,No
1851061602,7.9,6.4,5.9,6.4,6.7,7.7,6.8,7.3,8.7,9.7,7.35,No
1851061934,7.6,8.1,9,7,5.4,7.3,6.5,6.5,8.1,7.9,7.34,No
1851122156,6.3,5.8,7.6,6.9,6.4,9.5,9.4,6.1,7.7,7.7,7.34,No
1851061458,9.1,8.4,6.8,7.4,7.6,7.4,6.4,7.2,6,7,7.33,No
1851061636,8.2,7.6,6.3,7.8,4.3,7.6,8,7.7,7.3,8.2,7.3,No
1851061640,6.8,7.3,8.5,7.3,6.8,8.6,5.8,8.1,6.6,7.1,7.29,No
1851061638,6.4,7.5,8.3,6.2,6,7.3,7.5,6.6,8.7,8.3,7.28,No
1851061678,7.5,8.6,8.4,6.1,6.1,7.8,7.3,6.8,6.9,7.2,7.27,No
1851061523,7.9,8.6,9.2,6.5,5.4,5.7,6.3,7.5,6.5,8.9,7.25,No
1851061631,6.3,8.5,7.8,6.9,2.3,9.7,5.6,8.3,8.7,8,7.21,No
1851061354,7.3,5.9,7.5,6.4,6.1,8,6.5,8.1,8.3,8,7.21,No
1851061763,5.9,5.8,5.7,7,8.3,8.3,6.7,7.6,8.2,8.5,7.2,No
1851061607,7.8,4.8,7.8,6.9,8.6,6.9,7.3,8,6.9,6.9,7.19,No
1851061894,8.2,6,8.3,5.8,6.7,7.5,7.5,7.5,6.8,7.5,7.18,No
