Dai so tuyen tinh,Giai tich ham mot bien,Giai tich ham nhieu bien,Chu nghia Mac - Le nin 1,Phap luat Dai cuong,Tin hoc Dai cuong,Toan roi rac,Ky nang giao tiep va thuyet trinh,Tieng Anh 1,Tieng Anh 2,Canh bao hoc vu
3.4,3.2,7.6,6.1,5.7,6.4,4.2,6.5,3.7,7,No
0,2,8,3.8,3.3,3.6,1.2,6.3,7.8,7.6,Yes
1.4,2.9,7.1,5,3.6,6.2,4.2,6.9,5.4,5.7,No
3.1,4,8.1,5.8,5.3,5.8,2,6.6,3.3,5,No
1.4,2.4,0,4.3,4.9,4.2,2.4,6.5,6.8,6.6,No
6,5.1,8.6,5.8,5,0,1.6,6.8,5.2,6.3,No
7.8,4.5,7,5.9,7,7.7,5.1,6.2,8.9,7.3,No
2.4,2,7.6,5.6,4.3,4.8,2,6.7,6,8.1,No
1.9,1.8,7,4.8,2.9,4.5,1.2,5.5,4.6,5.3,No
0.8,2.2,0,4.1,1.7,0,0,7.3,0,6,Yes
8,5.5,9.4,6.9,8.8,5.5,8.3,6.5,5.4,6,No
2.9,2.7,8.1,6,3.4,6.5,7.5,6.8,2.1,5,No
1.4,1.6,4,6.4,6.7,0,6,7.3,7.2,8.4,No
6.3,5.8,7.6,6.9,6.4,9.5,9.4,6.1,7.7,7.7,No
4.3,5.5,8.6,5,5.6,4.3,5.5,6.2,4,4.8,No
5,7.3,7.6,5.8,5.3,4.2,8.8,7.9,5.6,5.3,No
5,5.2,7.9,6.3,7.7,6,5.8,7.8,4.7,5.9,No
2.3,2.6,7.6,6.8,4.8,3.8,4.8,6.4,8.2,7.6,No
5.8,4,7.6,5.1,3.6,5.2,6.3,6.3,4.3,6,No
4,4.9,7.1,5.7,4.7,2.6,5.3,7,3.8,7,No
3,4.1,6.1,4.8,4.5,4.2,4.6,5.8,0,8,No
4.8,4.9,7.9,5.6,1.4,4.6,5.7,7,4.9,6,No
3.7,5.5,8.1,5.2,6.6,6.6,4.9,6.7,9.1,8.6,No
7.1,5.2,9.1,6,5.9,6,5.2,7,6.3,5.4,No
5.5,6.7,7.9,4.9,6.4,5.6,7.9,6.2,8,7.9,No
