index	confidence	rules
1   	1.000	['8.2']=>['No']
2   	1.000	['8.7']=>['No']
3   	1.000	['4.2']=>['No']
4   	1.000	['8.6']=>['No']
5   	1.000	['6.8']=>['No']
6   	1.000	['8.3']=>['No']
7   	1.000	['7.2']=>['No']
8   	1.000	['7.3']=>['No']
9   	1.000	['7.7']=>['No']
10  	1.000	['5.9']=>['No']
11  	1.000	['8.1']=>['No']
12  	1.000	['4']=>['No']
13  	1.000	['4.3']=>['No']
14  	1.000	['5.2']=>['No']
15  	1.000	['4.5']=>['No']
16  	1.000	['8.9']=>['No']
17  	1.000	['7.1']=>['No']
18  	1.000	['8.5']=>['No']
19  	1.000	['8.8']=>['No']
20  	1.000	['6.4']=>['No']
21  	1.000	['4.9']=>['No']
22  	1.000	['6.6']=>['No']
23  	1.000	['6.3', '6']=>['No']
24  	1.000	['7', '6.8']=>['No']
25  	1.000	['5.7', '7']=>['No']
26  	1.000	['6', '6.8']=>['No']
27  	1.000	['5.8', '7']=>['No']
28  	0.974	['6.5']=>['No']
29  	0.973	['7.4']=>['No']
30  	0.973	['6.3']=>['No']
31  	0.971	['7.5']=>['No']
32  	0.971	['6.7']=>['No']
33  	0.971	['5.5']=>['No']
34  	0.970	['6.9']=>['No']
35  	0.968	['5']=>['No']
36  	0.968	['5.7']=>['No']
37  	0.966	['5.3']=>['No']
38  	0.966	['4.8']=>['No']
39  	0.966	['7.9']=>['No']
40  	0.964	['6.2']=>['No']
41  	0.964	['8']=>['No']
42  	0.963	['5.4']=>['No']
43  	0.958	['4.6']=>['No']
44  	0.955	['5.8']=>['No']
45  	0.947	['6', '5.5']=>['No']
46  	0.944	['8.4']=>['No']
47  	0.941	['9.1']=>['No']
48  	0.941	['7.6']=>['No']
49  	0.938	['7']=>['No']
50  	0.938	['5.1']=>['No']
51  	0.923	['7.8']=>['No']
52  	0.920	['5.6']=>['No']
53  	0.909	['4.4']=>['No']
54  	0.905	['6', '7']=>['No']
55  	0.897	['6']=>['No']
56  	0.889	['6.1']=>['No']
57  	0.842	['3.6']=>['No']
58  	0.711	['0']=>['No']
