index	confidence	rules
1   	1.000	['9.2']=>['No']
2   	1.000	['8.8']=>['No']
3   	1.000	['8.2']=>['No']
4   	1.000	['9.5']=>['No']
5   	1.000	['8.5']=>['No']
6   	1.000	['9.4']=>['No']
7   	1.000	['8.3']=>['No']
8   	1.000	['Nguyen Van']=>['Nam']
9   	1.000	['4']=>['No']
10  	1.000	['60KTD']=>['Nam']
11  	1.000	['8.6']=>['No']
12  	1.000	['Long']=>['No']
13  	1.000	['Long']=>['Nam']
14  	1.000	['60TDH2']=>['Nam']
15  	1.000	['10']=>['No']
16  	1.000	['9.3']=>['No']
17  	1.000	['60TDH1']=>['Nam']
18  	1.000	['Nguyen Van']=>['No']
19  	1.000	['6', '6.2']=>['No']
20  	1.000	['6.4', '6.2']=>['No']
21  	1.000	['5.8', '6.4']=>['No']
22  	1.000	['7', '7.5']=>['No']
23  	1.000	['5', '6.5']=>['No']
24  	1.000	['6.5', '7.9']=>['No']
25  	1.000	['6.4', '7.4']=>['No']
26  	1.000	['7.4', 'Nu']=>['No']
27  	1.000	['8.5', '7']=>['No']
28  	1.000	['7.7', 'Nu']=>['No']
29  	1.000	['5.7', '6']=>['No']
30  	1.000	['Nam', '9.5']=>['No']
31  	1.000	['6.9', '7.7']=>['No']
32  	1.000	['5.8', '7.4']=>['No']
33  	1.000	['8.3', '7.5']=>['No']
34  	1.000	['7', '7.4']=>['No']
35  	1.000	['Nam', '10']=>['No']
36  	1.000	['5.6', '7']=>['No']
37  	1.000	['5', '4.6']=>['No']
38  	1.000	['5.8', 'Nu']=>['No']
39  	1.000	['4', 'Nam']=>['No']
40  	1.000	['7', '6.2']=>['No']
41  	1.000	['6.3', '7']=>['No']
42  	1.000	['7', '60MT2']=>['No']
43  	1.000	['6.5', '6.8']=>['No']
44  	1.000	['7', '60TDH1']=>['Nam']
45  	1.000	['7.3', '6.8']=>['No']
46  	1.000	['7.4', '6.8']=>['No']
47  	1.000	['6.6', '6.8']=>['No']
48  	1.000	['60TDH1', '6.8']=>['Nam']
49  	1.000	['8.5', 'Nam']=>['No']
50  	1.000	['8.6', 'Nam']=>['No']
51  	1.000	['60TDH1', 'No']=>['Nam']
52  	1.000	['Nam', 'Long']=>['No']
53  	1.000	['No', 'Long']=>['Nam']
54  	1.000	['Long']=>['Nam', 'No']
55  	1.000	['6.5', '8.3']=>['No']
56  	1.000	['6', '5.1']=>['No']
57  	1.000	['5.3', '2']=>['No']
58  	1.000	['7', '6.9']=>['No']
59  	1.000	['7.4', '60MT2']=>['No']
60  	1.000	['6.7', 'Nu']=>['No']
61  	1.000	['6', '60TDH1']=>['Nam']
62  	1.000	['7', '8.1']=>['No']
63  	1.000	['Nam', '8.2']=>['No']
64  	1.000	['6.6', '7']=>['No']
65  	1.000	['6', '60MT2']=>['No']
66  	1.000	['6.4', '4.8']=>['No']
