index	confidence	rules
1   	1.000	['8.5']=>['No']
2   	1.000	['10']=>['No']
3   	1.000	['8.3']=>['No']
4   	1.000	['4.3']=>['No']
5   	1.000	['8.6']=>['No']
6   	1.000	['9.5']=>['No']
7   	1.000	['9.3']=>['No']
8   	1.000	['9.2']=>['No']
9   	1.000	['4']=>['No']
10  	1.000	['9.4']=>['No']
11  	1.000	['8.2']=>['No']
12  	1.000	['8.8']=>['No']
13  	1.000	['5.3', '5.5']=>['No']
14  	1.000	['7.4', '5.8']=>['No']
15  	1.000	['7.4', '4.5']=>['No']
16  	1.000	['6.3', '5.2']=>['No']
17  	1.000	['6.8', '7.8']=>['No']
18  	1.000	['6.8', '8.9']=>['No']
19  	1.000	['6.4', '5']=>['No']
20  	1.000	['6.7', '6.3']=>['No']
21  	1.000	['6', '8.1']=>['No']
22  	1.000	['7.4', '5.2']=>['No']
23  	1.000	['4.8', '6.7']=>['No']
24  	1.000	['6', '5.7']=>['No']
25  	1.000	['7.7', '6.7']=>['No']
26  	1.000	['7.9', '5.3']=>['No']
27  	1.000	['4.8', '4.6']=>['No']
28  	1.000	['6.7', '5.6']=>['No']
29  	1.000	['6.8', '9.3']=>['No']
30  	1.000	['8', '7.7']=>['No']
31  	1.000	['5.4', '5']=>['No']
32  	1.000	['7.7', '5.9']=>['No']
33  	1.000	['7.9', '7.3']=>['No']
34  	1.000	['6.1', '5.8']=>['No']
35  	1.000	['6.4', '5.8']=>['No']
36  	1.000	['8', '7.9']=>['No']
37  	1.000	['7.4', '6.9']=>['No']
38  	1.000	['5', '5.7']=>['No']
39  	1.000	['9.1', '8.5']=>['No']
40  	1.000	['7', '4.9']=>['No']
41  	1.000	['7.4', '6.4']=>['No']
42  	1.000	['6', '5.2']=>['No']
43  	1.000	['6.8', '7.4']=>['No']
44  	1.000	['7.5', '4.6']=>['No']
45  	1.000	['5.5', '6.5']=>['No']
46  	1.000	['6.9', '6.5']=>['No']
47  	1.000	['8.2', '6.8']=>['No']
48  	1.000	['6.8', '6.9']=>['No']
49  	1.000	['7.5', '6.1']=>['No']
50  	1.000	['7.9', '7.7']=>['No']
51  	1.000	['6.4', '6.1']=>['No']
52  	1.000	['6.8', '7.3']=>['No']
53  	1.000	['4.2', '6.5']=>['No']
54  	1.000	['6.8', '6.4']=>['No']
55  	1.000	['7.5', '6.9']=>['No']
56  	1.000	['7.9', '6.3']=>['No']
57  	1.000	['5.6', '5.8']=>['No']
58  	1.000	['5', '6.5']=>['No']
59  	1.000	['6', '6.6']=>['No']
60  	1.000	['6.8', '5.3']=>['No']
61  	1.000	['7', '7.8']=>['No']
62  	1.000	['7.9', '7.6']=>['No']
63  	1.000	['5.7', '6.5']=>['No']
64  	1.000	['7.5', '5.4']=>['No']
65  	1.000	['8', '5.7']=>['No']
66  	1.000	['7.5', '5']=>['No']
67  	1.000	['7.5', '8.1']=>['No']
68  	1.000	['7.7', '4.5']=>['No']
69  	1.000	['6.7', '8.5']=>['No']
70  	1.000	['6.6', '6.5']=>['No']
71  	1.000	['6.9', '5.8']=>['No']
72  	1.000	['5.7', '4.6']=>['No']
73  	1.000	['5.7', '4.2']=>['No']
74  	1.000	['7', '8.5']=>['No']
75  	1.000	['7.4', '4.7']=>['No']
76  	1.000	['5.1', '5.7']=>['No']
77  	1.000	['7.2', '6.3']=>['No']
78  	1.000	['5.3', '4.7']=>['No']
79  	1.000	['6.8', '5.7']=>['No']
80  	1.000	['5.3', '5.8']=>['No']
81  	1.000	['5.2', '6.5']=>['No']
82  	1.000	['7.7', '5.3']=>['No']
83  	1.000	['6.6', '9.3']=>['No']
84  	1.000	['6.4', '7.7']=>['No']
85  	1.000	['6.8', '5.2']=>['No']
86  	1.000	['6.4', '6.5']=>['No']
87  	1.000	['7.5', '6.5']=>['No']
88  	1.000	['5.4', '5.7']=>['No']
89  	1.000	['7.3', '5.8']=>['No']
90  	1.000	['7', '7.4']=>['No']
91  	1.000	['7', '8.1']=>['No']
92  	1.000	['6.4', '7.9']=>['No']
93  	1.000	['7.4', '7.9']=>['No']
94  	1.000	['8', '6.9']=>['No']
95  	1.000	['6.2', '6.4']=>['No']
96  	1.000	['7.5', '7.4']=>['No']
97  	1.000	['5.3', '4.5']=>['No']
98  	1.000	['6.2', '7.5']=>['No']
99  	1.000	['6', '4.2']=>['No']
100 	1.000	['6.8', '8']=>['No']
101 	1.000	['6.8', '6.5']=>['No']
102 	1.000	['6', '6.4']=>['No']
103 	1.000	['5', '5.3']=>['No']
104 	1.000	['6.8', '7.5']=>['No']
105 	1.000	['7', '5.1']=>['No']
106 	1.000	['7', '5.2']=>['No']
107 	1.000	['7.5', '6.4']=>['No']
108 	1.000	['7.7', '5.8']=>['No']
109 	1.000	['6.4', '7.3']=>['No']
110 	1.000	['7.4', '8.5']=>['No']
111 	1.000	['6.6', '5.2']=>['No']
112 	1.000	['5.4', '6.4']=>['No']
113 	1.000	['7.4', '6.5']=>['No']
114 	1.000	['6.6', '5.3']=>['No']
115 	1.000	['6.9', '4.6']=>['No']
116 	1.000	['7.4', '5.7']=>['No']
117 	1.000	['5.9', '7.3']=>['No']
118 	1.000	['6.3', '6.5']=>['No']
119 	1.000	['6.8', '8.5']=>['No']
120 	1.000	['7.4', '7.3']=>['No']
121 	1.000	['4.8', '6.5']=>['No']
122 	1.000	['7.9', '6.9']=>['No']
123 	1.000	['4.3', '4.8']=>['No']
124 	1.000	['6.8', '7.9']=>['No']
125 	1.000	['7', '8.9']=>['No']
126 	1.000	['6', '8.7']=>['No']
127 	1.000	['6.8', '6.3']=>['No']
128 	1.000	['6.4', '5.7']=>['No']
129 	1.000	['6', '4.7']=>['No']
130 	1.000	['7', '4.2']=>['No']
131 	1.000	['6.8', '8.3']=>['No']
132 	1.000	['5.4', '4.8']=>['No']
133 	1.000	['9.3', '7.3']=>['No']
134 	1.000	['6.8', '7.6']=>['No']
135 	1.000	['7.5', '8.3']=>['No']
136 	1.000	['7.5', '7.9']=>['No']
137 	1.000	['4.8', '5']=>['No']
138 	1.000	['2', '5.3']=>['No']
139 	1.000	['6', '4.3']=>['No']
140 	1.000	['6', '8.3']=>['No']
141 	1.000	['7', '9.3']=>['No']
142 	1.000	['4.5', '7.3']=>['No']
143 	1.000	['6.2', '7.7']=>['No']
144 	1.000	['7.9', '6.5']=>['No']
145 	1.000	['7.8', '7.3']=>['No']
146 	1.000	['6', '5.1']=>['No']
147 	1.000	['6', '8.4']=>['No']
148 	1.000	['8.6', '5.8']=>['No']
149 	1.000	['7', '8.3']=>['No']
150 	1.000	['6', '5.9']=>['No']
151 	1.000	['6.8', '7']=>['No']
152 	1.000	['7.5', '5.3']=>['No']
153 	1.000	['8.3', '6.5']=>['No']
154 	1.000	['6.1', '7.1']=>['No']
155 	1.000	['6.8', '6.7']=>['No']
